@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12}

@data
1,'2018/02/09 21:48:22:495',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2,'2018/02/09 21:48:22:546',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3,'2018/02/09 21:48:22:596',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
4,'2018/02/09 21:48:22:646',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
5,'2018/02/09 21:48:22:696',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
6,'2018/02/09 21:48:22:746',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
7,'2018/02/09 21:48:22:796',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
8,'2018/02/09 21:48:22:845',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
9,'2018/02/09 21:48:22:896',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
10,'2018/02/09 21:48:22:946',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
11,'2018/02/09 21:48:22:996',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
12,'2018/02/09 21:48:23:046',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,'2018/02/09 21:48:23:096',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
14,'2018/02/09 21:48:23:146',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
15,'2018/02/09 21:48:23:196',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
16,'2018/02/09 21:48:23:246',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
17,'2018/02/09 21:48:23:296',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
18,'2018/02/09 21:48:23:346',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
19,'2018/02/09 21:48:23:396',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
20,'2018/02/09 21:48:23:446',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
21,'2018/02/09 21:48:23:496',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
22,'2018/02/09 21:48:23:545',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
23,'2018/02/09 21:48:23:596',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
24,'2018/02/09 21:48:23:646',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
25,'2018/02/09 21:48:23:696',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
26,'2018/02/09 21:48:23:746',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
27,'2018/02/09 21:48:23:798',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
28,'2018/02/09 21:48:23:847',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
29,'2018/02/09 21:48:23:897',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
30,'2018/02/09 21:48:23:946',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
31,'2018/02/09 21:48:23:996',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
32,'2018/02/09 21:48:24:046',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
33,'2018/02/09 21:48:24:096',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
34,'2018/02/09 21:48:24:145',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
35,'2018/02/09 21:48:24:196',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
36,'2018/02/09 21:48:24:246',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
37,'2018/02/09 21:48:24:296',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
38,'2018/02/09 21:48:24:346',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
39,'2018/02/09 21:48:24:396',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
40,'2018/02/09 21:48:24:445',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
41,'2018/02/09 21:48:24:497',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
42,'2018/02/09 21:48:24:546',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
43,'2018/02/09 21:48:24:596',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
