@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
1,'2018/02/13 16:43:08:665',1,212.630798,0
2,'2018/02/13 16:43:08:714',1,211.478806,0
3,'2018/02/13 16:43:08:775',1,210.528717,0
4,'2018/02/13 16:43:08:828',1,209.728683,0
5,'2018/02/13 16:43:08:878',1,209.019104,0
6,'2018/02/13 16:43:08:930',1,208.48465,0
7,'2018/02/13 16:43:08:984',1,208.053055,0
8,'2018/02/13 16:43:09:036',1,207.706665,0
9,'2018/02/13 16:43:09:088',1,207.433456,0
10,'2018/02/13 16:43:09:142',1,207.270676,0
11,'2018/02/13 16:43:09:193',1,207.184311,0
12,'2018/02/13 16:43:09:246',1,207.184418,0
13,'2018/02/13 16:43:09:296',1,207.405258,0
14,'2018/02/13 16:43:09:349',1,207.712708,0
15,'2018/02/13 16:43:09:406',1,208.056458,0
16,'2018/02/13 16:43:09:458',1,208.346069,0
17,'2018/02/13 16:43:09:507',1,208.649597,0
18,'2018/02/13 16:43:09:558',1,208.883728,0
19,'2018/02/13 16:43:09:613',1,209.0345,0
20,'2018/02/13 16:43:09:663',1,209.152786,0
21,'2018/02/13 16:43:09:716',1,209.252335,0
22,'2018/02/13 16:43:09:764',1,209.357742,0
23,'2018/02/13 16:43:09:815',1,209.45549,0
24,'2018/02/13 16:43:09:880',1,209.576004,0
25,'2018/02/13 16:43:09:932',1,209.703491,0
26,'2018/02/13 16:43:09:981',1,209.839157,0
27,'2018/02/13 16:43:10:031',1,209.936752,0
28,'2018/02/13 16:43:10:080',1,210.030289,0
29,'2018/02/13 16:43:10:130',1,210.11293,0
30,'2018/02/13 16:43:14:715',2,330.430725,0.48
31,'2018/02/13 16:43:14:764',2,330.075317,0.48
32,'2018/02/13 16:43:14:822',2,329.848602,0.48
33,'2018/02/13 16:43:14:873',2,329.689575,0.48
34,'2018/02/13 16:43:14:922',2,329.598053,0.48
35,'2018/02/13 16:43:14:970',2,329.535034,0.48
36,'2018/02/13 16:43:15:018',2,329.463837,0.48
37,'2018/02/13 16:43:15:066',2,329.376251,0.48
38,'2018/02/13 16:43:15:116',2,329.282654,0.48
39,'2018/02/13 16:43:15:165',2,329.186096,0.48
40,'2018/02/13 16:43:15:214',2,329.088898,0.48
41,'2018/02/13 16:43:15:265',2,328.977417,0.48
42,'2018/02/13 16:43:15:314',2,328.850067,0.48
43,'2018/02/13 16:43:15:365',2,328.720215,0.48
44,'2018/02/13 16:43:15:415',2,328.59314,0.48
45,'2018/02/13 16:43:15:465',2,328.471588,0.48
46,'2018/02/13 16:43:15:517',2,328.372742,0.48
47,'2018/02/13 16:43:15:565',2,328.309601,0.48
48,'2018/02/13 16:43:15:615',2,328.289337,0.48
49,'2018/02/13 16:43:15:665',2,328.294037,0.48
50,'2018/02/13 16:43:15:714',2,328.319946,0.48
51,'2018/02/13 16:43:15:766',2,328.360748,0.48
52,'2018/02/13 16:43:15:815',2,328.406128,0.48
53,'2018/02/13 16:43:15:865',2,328.450653,0.48
54,'2018/02/13 16:43:15:919',2,328.487183,0.48
55,'2018/02/13 16:43:15:969',2,328.513367,0.48
56,'2018/02/13 16:43:16:018',2,328.531006,0.48
57,'2018/02/13 16:43:16:067',2,328.54837,0.48
58,'2018/02/13 16:43:16:115',2,328.567902,0.48
59,'2018/02/13 16:43:16:165',2,328.592194,0.48
60,'2018/02/13 16:43:16:215',2,328.619568,0.48
61,'2018/02/13 16:43:16:265',2,328.654266,0.48
62,'2018/02/13 16:43:16:316',2,328.695648,0.48
63,'2018/02/13 16:43:16:366',2,328.744934,0.48
64,'2018/02/13 16:43:16:416',2,328.798187,0.48
65,'2018/02/13 16:43:16:467',2,328.85379,0.48
66,'2018/02/13 16:43:16:514',2,328.914886,0.48
67,'2018/02/13 16:43:16:565',2,328.980835,0.48
68,'2018/02/13 16:43:16:615',2,329.051666,0.48
69,'2018/02/13 16:43:19:464',3,389.529694,1
70,'2018/02/13 16:43:19:516',3,392.239655,1
71,'2018/02/13 16:43:19:567',3,394.940948,1
72,'2018/02/13 16:43:19:623',3,397.629425,1
73,'2018/02/13 16:43:19:675',3,400.302124,1
74,'2018/02/13 16:43:19:725',3,402.950928,1
75,'2018/02/13 16:43:19:775',3,405.550873,1
76,'2018/02/13 16:43:19:824',3,408.031708,1
77,'2018/02/13 16:43:19:874',3,410.272797,1
78,'2018/02/13 16:43:19:925',3,412.300323,1
79,'2018/02/13 16:43:19:975',3,413.932648,1
80,'2018/02/13 16:43:20:024',3,415.120178,1
81,'2018/02/13 16:43:20:075',3,415.919525,1
82,'2018/02/13 16:43:20:125',3,416.44397,1
83,'2018/02/13 16:43:20:177',3,416.791107,1
84,'2018/02/13 16:43:20:223',3,417.022583,1
85,'2018/02/13 16:43:20:275',3,417.167297,1
86,'2018/02/13 16:43:20:325',3,417.235535,1
87,'2018/02/13 16:43:20:374',3,417.248688,1
88,'2018/02/13 16:43:20:424',3,417.220215,1
89,'2018/02/13 16:43:20:476',3,417.183777,1
90,'2018/02/13 16:43:20:526',3,417.146271,1
91,'2018/02/13 16:43:20:576',3,417.111603,1
92,'2018/02/13 16:43:20:642',3,417.081635,1
93,'2018/02/13 16:43:20:694',3,417.059937,1
94,'2018/02/13 16:43:20:745',3,417.048035,1
95,'2018/02/13 16:43:20:797',3,417.043671,1
96,'2018/02/13 16:43:20:849',3,417.048035,1
97,'2018/02/13 16:43:20:903',3,417.064026,1
98,'2018/02/13 16:43:20:954',3,417.095856,1
99,'2018/02/13 16:43:21:004',3,417.138214,1
100,'2018/02/13 16:43:21:058',3,417.185883,1
101,'2018/02/13 16:43:21:111',3,417.2388,1
102,'2018/02/13 16:43:21:163',3,417.301514,1
103,'2018/02/13 16:43:21:214',3,417.376556,1
104,'2018/02/13 16:43:21:264',3,417.466888,1
105,'2018/02/13 16:43:21:314',3,417.576202,1
106,'2018/02/13 16:43:21:364',3,417.701385,1
107,'2018/02/13 16:43:21:416',3,417.844971,1
108,'2018/02/13 16:43:21:465',3,417.996796,1
109,'2018/02/13 16:43:21:516',3,418.149323,1
110,'2018/02/13 16:43:21:569',3,418.298828,1
111,'2018/02/13 16:43:21:621',3,418.440216,1
112,'2018/02/13 16:43:21:673',3,418.563019,1
113,'2018/02/13 16:43:21:727',3,418.668213,1
114,'2018/02/13 16:43:21:778',3,418.762177,1
115,'2018/02/13 16:43:21:830',3,418.849548,1
116,'2018/02/13 16:43:21:884',3,418.93454,1
117,'2018/02/13 16:43:21:931',3,419.021393,1
118,'2018/02/13 16:43:21:980',3,419.11261,1
119,'2018/02/13 16:43:22:036',3,419.20639,1
120,'2018/02/13 16:43:22:083',3,419.30365,1
121,'2018/02/13 16:43:22:130',3,419.401184,1
122,'2018/02/13 16:43:22:181',3,419.494751,1
123,'2018/02/13 16:43:22:230',3,419.578094,1
124,'2018/02/13 16:43:22:281',3,419.651031,1
125,'2018/02/13 16:43:22:331',3,419.714355,1
126,'2018/02/13 16:43:22:382',3,419.767426,1
127,'2018/02/13 16:43:22:432',3,419.808014,1
128,'2018/02/13 16:43:22:486',3,419.834442,1
129,'2018/02/13 16:43:22:540',3,419.851624,1
130,'2018/02/13 16:43:22:589',3,419.868011,1
131,'2018/02/13 16:43:22:642',3,419.888306,1
132,'2018/02/13 16:43:22:697',3,419.915527,1
133,'2018/02/13 16:43:22:749',3,419.948151,1
134,'2018/02/13 16:43:22:798',3,419.986206,1
135,'2018/02/13 16:43:22:849',3,420.032288,1
136,'2018/02/13 16:43:22:897',3,420.087128,1
